Time,TimeCumulative,TrainObj,TrainBest,TestObj,TestBest
23.615434763,23.615434763,2173.0991041019547,2173.0991041019547,4.239633233923162e7,4.239633233923162e7
22.018369574,45.633804337,2117.694742195207,2117.694742195207,3.106995641707646e7,3.106995641707646e7
24.315706914,69.949511251,2284.103862609442,2117.694742195207,6.334242422010286e7,3.106995641707646e7
35.370950472,105.320461723,2167.8981746014674,2117.694742195207,1.879028321367069e7,3.106995641707646e7
31.12798255,136.448444273,2213.976387738283,2117.694742195207,2.0361869979811836e7,3.106995641707646e7
27.450404531,163.898848804,2226.7532798023626,2117.694742195207,6.093129542840255e7,3.106995641707646e7
23.044009395,186.942858199,2080.396107912188,2080.396107912188,8.57692815784441e7,8.57692815784441e7
37.395156717,224.338014916,2110.8812243294615,2080.396107912188,6.250255774252695e7,8.57692815784441e7
21.256808624,245.59482354,2316.5322411185416,2080.396107912188,1.4701833334434163e7,8.57692815784441e7
21.968192636,267.563016176,2279.96512220657,2080.396107912188,6.942278937281558e7,8.57692815784441e7
34.484733537,302.04774971300003,2204.0687739044256,2080.396107912188,1.6896052894591203e8,8.57692815784441e7
20.527388925,322.57513863800006,2299.245201879972,2080.396107912188,1.832016407308074e7,8.57692815784441e7
19.612918419,342.18805705700004,2299.1059892915673,2080.396107912188,7.068012799067613e7,8.57692815784441e7
31.611616428,373.799673485,2179.1520909821293,2080.396107912188,3.9749216963874765e7,8.57692815784441e7
27.622218676,401.421892161,2096.1957725150532,2080.396107912188,2.7518100343254123e7,8.57692815784441e7
34.394837388,435.816729549,2205.334326602315,2080.396107912188,2.1222894565309938e7,8.57692815784441e7
22.970406323,458.787135872,2113.766198586146,2080.396107912188,7.363480186385147e7,8.57692815784441e7
23.150356684,481.937492556,2176.5718158525574,2080.396107912188,1.9296016041112248e7,8.57692815784441e7
35.599154922,517.536647478,2115.2941030838792,2080.396107912188,3.508811218165909e7,8.57692815784441e7
30.046185164,547.582832642,2191.5558238142225,2080.396107912188,3.8126615374189824e7,8.57692815784441e7
30.193979683,577.7768123249999,2090.503748782712,2080.396107912188,2.987688247967922e7,8.57692815784441e7
35.348682301,613.1254946259999,2191.5558238142216,2080.396107912188,3.812661537419072e7,8.57692815784441e7
21.66383124,634.7893258659999,2215.4128511035206,2080.396107912188,6.832573098799124e7,8.57692815784441e7
20.413975081,655.2033009469999,2226.2304584670546,2080.396107912188,1.4678566767892593e8,8.57692815784441e7
34.86857816,690.0718791069999,2247.5400681658098,2080.396107912188,3.164835230413983e7,8.57692815784441e7
32.055257706,722.1271368129999,2213.5784501160565,2080.396107912188,4.160622692672277e7,8.57692815784441e7
27.268402235,749.3955390479999,2267.3957403996296,2080.396107912188,1.3948409564197984e8,8.57692815784441e7
35.858044264,785.2535833119999,2226.2304584670546,2080.396107912188,1.4678566767892686e8,8.57692815784441e7
28.1574441,813.411027412,2166.166657966728,2080.396107912188,1.3368314331596592e8,8.57692815784441e7
32.598588326,846.009615738,2110.8812243294615,2080.396107912188,6.250255774252678e7,8.57692815784441e7
35.358591536,881.3682072739999,2064.11579907478,2064.11579907478,6.362159259979805e7,6.362159259979805e7
25.098752523,906.466959797,2255.4472288387024,2064.11579907478,7.862845098489459e7,6.362159259979805e7
36.410444435,942.877404232,2179.1520909821293,2064.11579907478,3.974921696387419e7,6.362159259979805e7
27.924983898,970.80238813,2210.435489158752,2064.11579907478,2.1524545057271816e7,6.362159259979805e7
30.125256977,1000.9276451070001,2246.6943207096087,2064.11579907478,1.2303191207006698e7,6.362159259979805e7
33.215900854,1034.1435459610002,2205.334326602315,2064.11579907478,2.1222894565310024e7,6.362159259979805e7
27.398024973,1061.5415709340002,2123.750288400869,2064.11579907478,3.442124830462132e7,6.362159259979805e7
35.214966372,1096.7565373060002,2177.2196293540683,2064.11579907478,7.844495634556475e7,6.362159259979805e7
33.239270541,1129.9958078470002,2115.8450365385493,2064.11579907478,3.1328141963029608e7,6.362159259979805e7
28.711717088,1158.707524935,2340.3424530423645,2064.11579907478,2.5308233752711758e7,6.362159259979805e7
33.869146167,1192.576671102,2222.4274074921354,2064.11579907478,2.073166591728434e7,6.362159259979805e7
29.993788935,1222.5704600370002,2260.780050459631,2064.11579907478,1.6244038610581083e7,6.362159259979805e7
26.919148554,1249.4896085910002,2165.594035756931,2064.11579907478,6.2728171559539735e7,6.362159259979805e7
33.657734507,1283.1473430980002,2115.2941030838797,2064.11579907478,3.508811218165898e7,6.362159259979805e7
33.841856163,1316.9891992610003,2209.0003644017233,2064.11579907478,1.0691345856144571e8,6.362159259979805e7
29.482019783,1346.4712190440002,2178.685254560428,2064.11579907478,1.797844293823865e7,6.362159259979805e7
30.304770607,1376.7759896510001,2141.56822658353,2064.11579907478,7.003882675326282e7,6.362159259979805e7
33.06178399,1409.8377736410002,2190.2534077090354,2064.11579907478,4.421676137114909e7,6.362159259979805e7
29.786942369,1439.6247160100002,2256.4474881407705,2064.11579907478,1.093872392661013e7,6.362159259979805e7
29.993201063,1469.6179170730002,2166.1666579667276,2064.11579907478,1.3368314331595604e8,6.362159259979805e7
26.67731442,1496.295231493,2159.4142381778197,2064.11579907478,2.7915367754721377e7,6.362159259979805e7
31.916940402,1528.212171895,2106.6369376809903,2064.11579907478,3.2698107963880092e7,6.362159259979805e7
31.668886344,1559.881058239,2102.1814955843893,2064.11579907478,7.715944280600259e7,6.362159259979805e7
32.982200055,1592.863258294,2141.56822658353,2064.11579907478,7.003882675326209e7,6.362159259979805e7
24.801569743,1617.664828037,2199.4330580348465,2064.11579907478,6.909206843428181e7,6.362159259979805e7
30.17389156,1647.838719597,2220.543513361495,2064.11579907478,1.3115225814751351e7,6.362159259979805e7
40.664863659,1688.503583256,2198.4757385538032,2064.11579907478,6.19794052032888e7,6.362159259979805e7
30.990051281,1719.493634537,2225.1158034529126,2064.11579907478,5.621997219948459e7,6.362159259979805e7
22.014925309,1741.508559846,2133.33782199422,2064.11579907478,5.821521856308768e7,6.362159259979805e7
39.927624641,1781.436184487,2145.437730702856,2064.11579907478,1.112495176364182e8,6.362159259979805e7
29.682375881,1811.118560368,2190.2534077090354,2064.11579907478,4.421676137114809e7,6.362159259979805e7
22.059043303,1833.177603671,2102.1814955843893,2064.11579907478,7.715944280600432e7,6.362159259979805e7
20.937619268,1854.115222939,2160.748632958916,2064.11579907478,6.806035311755945e7,6.362159259979805e7
22.688602143,1876.803825082,2190.253407709036,2064.11579907478,4.42167613711473e7,6.362159259979805e7
39.497576021,1916.301401103,2214.3510904305317,2064.11579907478,7.058732497709803e7,6.362159259979805e7
29.967431597,1946.2688327,2211.134970786578,2064.11579907478,7.392290621366364e7,6.362159259979805e7
33.67234631,1979.94117901,2179.8520902310966,2064.11579907478,4.385729970794687e7,6.362159259979805e7
34.18829944,2014.12947845,2090.503748782712,2064.11579907478,2.987688247967915e7,6.362159259979805e7
22.970796464,2037.100274914,2213.5784501160556,2064.11579907478,4.160622692672292e7,6.362159259979805e7
21.409964901,2058.510239815,2269.151106311528,2064.11579907478,1.103115704127455e8,6.362159259979805e7
22.22407287,2080.734312685,2106.6369376809903,2064.11579907478,3.2698107963880073e7,6.362159259979805e7
33.544057247,2114.2783699320003,2138.7238632752046,2064.11579907478,8.158643815609166e7,6.362159259979805e7
32.640234137,2146.918604069,2184.474354506317,2064.11579907478,2.8340936703249823e7,6.362159259979805e7
21.936274791,2168.85487886,2258.4713583708817,2064.11579907478,6.1965368050772876e7,6.362159259979805e7
21.487720812,2190.3425996720002,2201.0007747906425,2064.11579907478,3.456311263826165e7,6.362159259979805e7
20.073291303,2210.4158909750004,2233.677996260572,2064.11579907478,1.7316597281450693e7,6.362159259979805e7
21.623020148,2232.038911123,2179.1520909821293,2064.11579907478,3.97492169638737e7,6.362159259979805e7
30.901748852,2262.940659975,2318.1935806831807,2064.11579907478,8.596007307396762e7,6.362159259979805e7
33.825733955,2296.76639393,2222.1864472160637,2064.11579907478,7.404366502282614e7,6.362159259979805e7
24.952258397,2321.718652327,2141.56822658353,2064.11579907478,7.003882675326243e7,6.362159259979805e7
40.635371939,2362.354024266,2113.766198586146,2064.11579907478,7.363480186385643e7,6.362159259979805e7
27.029641894,2389.3836661600003,2170.9415648547915,2064.11579907478,7.520821910081618e7,6.362159259979805e7
33.631646018,2423.0153121780004,2267.3957403996296,2064.11579907478,1.3948409564197966e8,6.362159259979805e7
33.221011572,2456.2363237500003,2088.8939637306985,2064.11579907478,3.679240786222091e7,6.362159259979805e7
22.172008459,2478.4083322090005,2179.1520909821293,2064.11579907478,3.974921696387438e7,6.362159259979805e7
20.583071211,2498.9914034200006,2318.1935806831802,2064.11579907478,8.596007307397051e7,6.362159259979805e7
20.7195247,2519.7109281200005,2092.936993198273,2064.11579907478,6.493208007561637e7,6.362159259979805e7
34.451164324,2554.1620924440003,2205.9774640762444,2064.11579907478,7.047612739914314e7,6.362159259979805e7
33.303804887,2587.465897331,2178.685254560428,2064.11579907478,1.7978442938238394e7,6.362159259979805e7
24.041653432,2611.5075507630004,2134.195113963406,2064.11579907478,5.957494801698803e7,6.362159259979805e7
37.915426685,2649.4229774480004,2233.677996260572,2064.11579907478,1.7316597281450663e7,6.362159259979805e7
32.073960106,2681.4969375540004,2126.3386765501027,2064.11579907478,8.292670539300676e7,6.362159259979805e7
31.628643235,2713.125580789,2225.435870738453,2064.11579907478,3.603528170411002e7,6.362159259979805e7
33.047275749,2746.1728565380004,2123.750288400869,2064.11579907478,3.442124830462221e7,6.362159259979805e7
30.132291814,2776.3051483520003,2199.433058034847,2064.11579907478,6.90920684342804e7,6.362159259979805e7
33.350507673,2809.655656025,2284.103862609442,2064.11579907478,6.334242422010166e7,6.362159259979805e7
29.810721406,2839.466377431,2269.151106311528,2064.11579907478,1.1031157041274837e8,6.362159259979805e7
35.422383094,2874.888760525,2222.1235240696165,2064.11579907478,1.2263731421661438e8,6.362159259979805e7
22.151360628,2897.040121153,2170.9415648547915,2064.11579907478,7.520821910081671e7,6.362159259979805e7
21.791415763,2918.831536916,2088.8939637306985,2064.11579907478,3.679240786222131e7,6.362159259979805e7
