Time,TimeCumulative,TrainObj,TrainBest,TestObj,TestBest
15.857986835,15.857986835,4098.570980226514,4098.570980226514,1.1160092530652924e8,1.1160092530652924e8
14.635410567,30.493397402,3853.6849081709906,3853.6849081709906,1.149368620205103e8,1.149368620205103e8
15.229738915,45.723136317,3854.1537508799365,3853.6849081709906,1.1528104078586859e8,1.149368620205103e8
15.210602293,60.93373861,3850.557339794241,3850.557339794241,1.165642568944763e8,1.165642568944763e8
14.999395715,75.933134325,4274.02894272556,3850.557339794241,1.211072440575192e8,1.165642568944763e8
15.15394193,91.087076255,4270.99294516864,3850.557339794241,1.210009062212136e8,1.165642568944763e8
15.959507817,107.046584072,3826.3719641190605,3826.3719641190605,1.1437611615246607e8,1.1437611615246607e8
15.589874381,122.636458453,4283.639545182139,3826.3719641190605,1.2284729187400864e8,1.1437611615246607e8
15.312954727,137.94941318,4077.9941201935194,3826.3719641190605,1.1670491473582639e8,1.1437611615246607e8
15.797025409,153.74643858899998,4283.639545182139,3826.3719641190605,1.2284729187400682e8,1.1437611615246607e8
15.259313483,169.00575207199998,3842.2290121505766,3826.3719641190605,1.1942092917101988e8,1.1437611615246607e8
15.335935017,184.34168708899998,3833.89669654691,3826.3719641190605,1.1871382611038938e8,1.1437611615246607e8
15.384767533,199.72645462199998,4103.240337804899,3826.3719641190605,1.1349857967017922e8,1.1437611615246607e8
15.229667244,214.956121866,4270.99294516864,3826.3719641190605,1.2100090622121398e8,1.1437611615246607e8
15.959183117,230.915304983,3826.3719641190605,3826.3719641190605,1.1437611615246607e8,1.1437611615246607e8
15.421090263,246.336395246,3842.2290121505766,3826.3719641190605,1.1942092917101991e8,1.1437611615246607e8
15.296010934,261.63240618,4283.639545182139,3826.3719641190605,1.2284729187401049e8,1.1437611615246607e8
15.249370089,276.881776269,4103.240337804899,3826.3719641190605,1.1349857967017922e8,1.1437611615246607e8
15.496431865,292.378208134,4077.9941201935194,3826.3719641190605,1.1670491473582713e8,1.1437611615246607e8
15.108450891,307.486659025,4270.99294516864,3826.3719641190605,1.2100090622121331e8,1.1437611615246607e8
15.909787093,323.396446118,3829.6802449242728,3826.3719641190605,1.173217840393421e8,1.1437611615246607e8
15.062729228,338.459175346,4098.570980226514,3826.3719641190605,1.1160092530652924e8,1.1437611615246607e8
15.469977139,353.929152485,4077.9941201935194,3826.3719641190605,1.1670491473582631e8,1.1437611615246607e8
15.294145279,369.223297764,4077.9941201935194,3826.3719641190605,1.1670491473582713e8,1.1437611615246607e8
15.428665385,384.651963149,3833.8966965469103,3826.3719641190605,1.1871382611038946e8,1.1437611615246607e8
