Objects;V;S;R;G;W1;W2;W3;W4;W5;W6;W7;W8;D1;D2;D3;D4;D5;D6;D7;D8;WO1;WO2;WO3;WO4;WO5;WO6;WN1;WN2;WN3;WN4;WN5;WN6;IW1;IW2;IW3;IW4;CW1;CW2;CW3;CW4;CW5;CW6;CW7;CW8;ID1;ID2;ID3;ID4;CD1;CD2;CD3;CD4;CD5;CD6;CD7;CD8;HL1;HL2;A;CP;PSA;HSA;PSAR;PHSAR;DRDRDR;DRDRAC;DRDRDO;DRACAC;DRACDO;DRDODO;ACACAC;ACACDO;ACDODO;DODODO;DD1;DD2;DD3;DD4;DD5;DD6;DD7;DD8;Log_Ptol
ZiSiSte_012;251.5;198.734;1.26551;1.04748;341;38.5;0;0;0;0;0;0;187.625;59.25;18.25;4.25;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0192075;0;0;0;1.71586;0.193726;0;0;0;0;0;0;0.0310749;0.105302;0.251246;0;0.944101;0.298137;0.0918313;0.0213854;0.00125796;0;0;0;0;0;1.63689;36.5;0;198.734;0;0;1.07063;0;0;0;0;0;0;0;0;0;0;0.125;0;0.125;0.125;0;0;0;2.422
ZiSiSte_013;370;270.816;1.36624;1.13262;651.5;314.625;104.125;32.5;15.25;5.625;0.875;0;196.75;106.75;39.75;20.625;12.25;6.625;4.5;1.5;72.625;20.125;5.5;0.75;0;0;107.125;33;16.125;6.625;0.5;0;0.115545;0.711921;1.6805;2.30417;2.4057;1.16177;0.384487;0.120008;0.0563114;0.0207706;0.00323098;0;0.055706;0.0641092;0.0580264;0.047548;0.726509;0.39418;0.146779;0.0761588;0.0452337;0.0244631;0.0166165;0.00553882;0.383648;0.272727;5.62393;6.875;20.23;250.586;0.0747003;0.0807309;5.12607;8.43703;8.43703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.8
ZiSiSte_015;406.5;292.299;1.3907;1.15599;743.75;410.875;184.375;53.625;13.25;0;0;0;176.375;95.5;37.375;22.75;14.5;8.375;5.875;3.375;0;0;0;0;0;0;230.75;66.625;14.75;0.125;0;0;0.102591;0.469295;1.00505;0;2.54448;1.40567;0.630776;0.183459;0.0453303;0;0;0;0.0849485;0.112291;0.137709;0.17461;0.603406;0.32672;0.127866;0.0778313;0.0496068;0.0286522;0.0200993;0.0115464;0.354515;0;5.09406;3.95318;37.15;255.149;0.127096;0.145601;7.77503;9.86948;0;5.5837;0;0;0;0;0;0;11.625;3.25;2.125;1.125;1.375;0.125;0;0.5;4.088
ZiSiSte_018;350.75;256.986;1.36486;1.10443;669.5;326.5;102.875;33;14.75;4.875;0.625;0;227.75;97.875;53.125;29;11.5;3.5;2.25;1.25;81.375;25.875;8.625;2.25;0;0;111.75;29.375;14.5;5.5;0.375;0;0.114619;0.758617;1.73018;2.29392;2.6052;1.2705;0.400314;0.128412;0.0573962;0.0189699;0.00243204;0;0.0713715;0.0999314;0.0401332;0.0538614;0.886235;0.380858;0.206723;0.112847;0.0447495;0.0136194;0.00875534;0.00486408;0.277647;0.168103;6.03912;5.96131;20.23;236.756;0.0787203;0.0854467;2.5553;4.20285;4.20285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.873
ZiSiSte_023;349.625;259.813;1.34568;1.12632;586.375;267.625;86.25;31.5;14.375;5.625;1.125;0;168.625;71;37.5;16.75;7.625;3.25;2.375;1.125;68.5;21.625;7;1;0;0;89;32.25;16.625;5.75;0.75;0;0.126548;0.799219;1.62072;2.0836;2.25691;1.03007;0.33197;0.121241;0.0553283;0.0216502;0.00433004;0;0.0614507;0.0672936;0.0687753;0.11665;0.649025;0.273273;0.144335;0.0644694;0.029348;0.012509;0.00914119;0.00433004;0.383333;0.335821;5.24217;6.33657;20.23;239.583;0.0778637;0.0844384;4.40055;7.00435;7.00435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.431
ZiSiSte_025;288.375;227.136;1.26961;1.11621;377.25;52.625;0;0;0;0;0;0;193.375;50;19.625;2.5;1.25;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0165161;0;0;0;1.6609;0.231689;0;0;0;0;0;0;0.0273743;0.105164;0.198909;0;0.851361;0.220132;0.0864019;0.0110066;0.0055033;0.00055033;0;0;0;0;1.25595;39.25;0;227.136;0;0;2.75128;0;0;0;0;0;0;0;0;0;2.375;1;2.125;0;0.25;0.25;0;0;3.489
ZiSiSte_028;293.875;225.717;1.30196;1.08507;630.875;373.375;175.5;67.375;27.25;2.875;0.375;0;104.875;55.625;14.875;6.125;3.125;2.25;0.75;0;71;17;5;0.875;0;0;178;69.125;23.375;2.125;0.125;0;0.174514;0.575205;1.04481;2.69056;2.79498;1.65417;0.777522;0.298493;0.120726;0.0127372;0.00166137;0;0.130865;0.125271;0.165946;0.356854;0.46463;0.246437;0.065901;0.0271357;0.0138448;0.00996823;0.00332274;0;1.83193;0.469388;3.91825;1.04505;25.63;200.087;0.113549;0.128094;2.55285;4.61708;4.61708;5.77183;5.77183;0;0;0;0;0;0;0;0;0;0;0;0;0;0.456
ZiSiSte_029;252.125;198.114;1.27262;1.04;578.875;376;197.375;86;44;20.625;8;0;80.75;36.5;11.625;6.375;2.875;0;0;0;0;0;0;0;0;0;238.625;106.5;51;22.375;6.125;0;0.291694;0.808489;1.92541;2.96834;2.92192;1.89789;0.996268;0.434093;0.222094;0.104107;0.0403807;0;0.115112;0.0586243;0.129106;0;0.407593;0.184237;0.0586782;0.0321784;0.0145118;0;0;0;3.78495;3.23529;4.14106;1.45546;30.21;167.904;0.152488;0.179924;2.78336;2.96619;0;3.06605;0;0;0;0;0;0;2.75;0.25;0.125;0;0.5;0;0;0;0.613
ZiSiSte_032;330.625;250.91;1.3177;1.13036;600.25;303.625;123.5;45.75;19.75;8.5;1.125;0;125.125;68.125;22.625;10.875;6.5;3.75;1.75;0.25;75.125;25;8.375;1.5;0;0;139;50.5;22.25;6.75;0.375;0;0.165243;0.747982;1.55257;2.1587;2.39229;1.21009;0.492208;0.182336;0.0787134;0.0338767;0.00448367;0;0.0976149;0.0847832;0.0929589;0.19026;0.498684;0.271511;0.0901717;0.0433422;0.0259057;0.0149456;0.0069746;0.000996372;0.872928;0.781609;4.70894;2.70742;31.66;219.25;0.126181;0.144401;5.02848;4.70015;4.70015;4.91887;4.91887;0;0;0;0;0;0;0.125;0;0;0;0;0;0;1.26
ZiSiSte_034;342.625;256.347;1.33657;1.12641;694.875;410.5;206.875;86.125;46.375;22.875;8.625;1.125;143.75;72.125;31.5;17;10.5;6;3.75;1.625;79.875;23.875;7;0.75;0;0;238.125;100.75;52.25;24.375;6.625;0;0.229503;0.74738;1.59573;2.29625;2.71068;1.60135;0.807012;0.335971;0.180907;0.0892346;0.0336458;0.00438859;0.102069;0.107323;0.122642;0.275452;0.560764;0.281357;0.12288;0.0663164;0.0409602;0.0234058;0.0146286;0.00633907;1.47222;1.34559;5.06159;1.70107;37.3;219.047;0.145506;0.170283;5.69844;7.39074;6.10488;5.40502;5.40502;0;0;0;0;0;0.375;0.125;0.375;0.125;0.125;0.125;0;0;1.23
ZiSiSte_035;273.75;208.777;1.31121;1.0362;373.5;53.125;0;0;0;0;0;0;190.375;59.125;26.625;11.75;5.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0080946;0;0;0;1.78899;0.254458;0;0;0;0;0;0;0.0130741;0.0346954;0.0974532;0;0.911859;0.283197;0.127529;0.0562802;0.0263439;0.0023949;0;0;0;0;0.653289;53.25;0;208.777;0;0;3.67114;0;0;0;0;0;0;0;0;0;0.125;0.125;0.125;0.125;0.125;0.125;0;0;2.929
ZiSiSte_036;327.75;240.576;1.36236;1.07055;378.125;42.875;0;0;0;0;0;0;191.5;53.75;13.875;3.375;0.5;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00316703;0;0;0;1.57175;0.178218;0;0;0;0;0;0;0.00434748;0.0583728;0.167298;0;0.796007;0.223422;0.0576742;0.0140288;0.00207835;0.000519587;0;0;0;0;0.662546;27.75;0;240.576;0;0;3.70021;0;0;0;0;0;0;0;0;0;0.625;0.25;0.75;0.25;0;0;0;0;4.493
ZiSiSte_037;309.375;237.225;1.30414;1.11053;545.375;244.875;85.75;31.5;14.25;5.5;1.875;0;156.375;75.5;29.5;14;7.375;4.5;3.125;1.125;65.875;21.25;6.125;0.625;0;0;80.5;31.5;15.75;7.75;0.625;0;0.153524;0.892669;1.8367;2.36266;2.29898;1.03225;0.361471;0.132785;0.0600696;0.0231848;0.00790389;0;0.0742738;0.0864974;0.0939481;0.219001;0.659185;0.318264;0.124355;0.0590157;0.0310887;0.0189693;0.0131732;0.00474234;0.483051;0.392857;5.11891;4.59059;20.23;216.995;0.0852778;0.093228;4.38634;5.26143;5.26143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.136
ZiSiSte_039;249.125;199.669;1.24769;1.06493;437.625;264.25;150.75;73.375;38.875;19.125;4.75;0;77;11.125;2.25;0.375;0.125;0;0;0;104.625;45;18.875;3.875;0;0;187.125;86.375;47.375;22.625;4.75;0;0.310932;0.821591;1.38404;1.66728;2.19175;1.32344;0.754999;0.367483;0.194697;0.0957835;0.0237894;0;0.104574;0.306149;0.542065;0;0.385638;0.0557172;0.0112686;0.00187811;0.000626036;0;0;0;17.2778;38.25;5.83682;0.0497591;20.23;179.439;0.101318;0.11274;2.76624;2.60298;2.60298;0;0;0;0;0;0;0;2.125;0.625;0.375;0;0.125;0;0;0;-0.541
ZiSiSte_040;251.75;198.011;1.27139;1.04073;277.875;16.25;0;0;0;0;0;0;150.75;34.25;8.375;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00212074;0;0;0;1.40333;0.0820661;0;0;0;0;0;0;0.00620921;0.0682489;0;0;0.761321;0.17297;0.0422956;0.00126256;0;0;0;0;0;0;0.660273;16.75;0;198.011;0;0;2.7625;0;0;0;0;0;0;0;0;0;2.75;1.125;0.625;0.25;0;0;0;0;3.25
ZiSiSte_041;243.5;195.013;1.24864;1.05165;301;27.375;0;0;0;0;0;0;164.25;40.125;21.625;5.625;1.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0124849;0;0;0;1.54349;0.140375;0;0;0;0;0;0;0.0175275;0.0441435;0.0740066;0;0.842252;0.205756;0.11089;0.0288442;0.00833278;0;0;0;0;0;0.432892;43.25;0;195.013;0;0;2.76495;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;2.612
ZiSiSte_042;413.375;294.672;1.40283;1.15064;820.75;501.375;235.5;103.75;55.5;28.75;9.875;1.5;188;97.75;42.5;22.5;12.625;8.25;4.25;2.125;76.125;23;6.75;0.625;0;0;280.875;118.625;63.625;29.625;8.625;0;0.219948;0.747159;1.55111;2.2492;2.7853;1.70147;0.799193;0.352086;0.188345;0.097566;0.0335118;0.0050904;0.089569;0.0858325;0.125854;0.18498;0.637997;0.331725;0.144228;0.076356;0.0428442;0.0279972;0.0144228;0.0072114;1.30588;1.27778;5.8286;2.09128;37.3;257.372;0.126581;0.144926;7.74354;9.40754;8.40721;7.67414;7.67414;0;0;0;0;0;1.75;1.375;0.375;1.5;0.25;0.25;0.25;0.125;1.83
ZiSiSte_043;372.75;276.534;1.34794;1.16005;677.5;339.125;106.75;37;16.875;6.625;1.125;0;195.875;107;42.875;21;12.25;7.375;5;2.625;75.25;25.5;7.625;1.125;0;0;110.75;33.75;18.25;8.25;0.5;0;0.147436;0.842958;1.85972;2.5037;2.44997;1.22634;0.386029;0.133799;0.0610233;0.0239573;0.00406822;0;0.0596366;0.0436938;0.0659303;0.0444957;0.708323;0.386933;0.155044;0.0759401;0.0442984;0.0266695;0.018081;0.00949252;0.393586;0.315476;5.91371;10.0165;20.23;256.304;0.0731557;0.0789298;5.10344;7.61948;7.61948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.68
ZiSiSte_044;380.75;272.068;1.39947;1.10828;671.75;319.75;85.5;24.25;8.125;2.5;0.25;0;214;114.625;49.25;28.125;16.625;8.625;4.75;2.75;72.5;25.125;9.625;3.25;0.625;0;0;0;0;0;0;0;0.0967437;0.674488;1.60204;2.07703;2.46905;1.17526;0.314259;0.0891321;0.0298638;0.00918887;0.000918887;0;0.0455495;0.0105268;0.00631128;0.0613179;0.786567;0.42131;0.181021;0.103375;0.061106;0.0317016;0.0174589;0.0101078;0.164975;0.0888889;4.92186;78.7568;26.02;246.048;0.0956378;0.105752;5.09343;0;7.66458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.332
ZiSiSte_048;348.875;257.102;1.35695;1.11112;600.625;277;100.5;37.625;16.875;6.625;1;0;167.625;66.125;33;16.25;9.375;5.25;3.25;1.5;78.5;26.875;9.125;1.375;0;0;95.75;34.375;16.875;7;0.75;0;0.172738;0.889065;1.80858;2.33576;2.33613;1.07739;0.390895;0.146343;0.0656354;0.025768;0.0038895;0;0.0465675;0.0465854;0.0478227;0.151231;0.651978;0.257193;0.128354;0.0632044;0.0364641;0.0204199;0.0126409;0.00583425;0.511364;0.407692;5.31078;7.65893;20.23;236.872;0.0786846;0.0854047;5.58915;7.31688;7.31688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.228
ZiSiSte_051;353.375;261.554;1.35106;1.12559;750.125;462.25;227.25;103.875;55.75;27.375;9.5;0.75;176.5;81.625;38.125;19.625;8.25;3.625;2;0.25;82.875;25.125;8.125;1.625;0;0;267.75;117.875;62.125;30.5;6.875;0;0.230283;0.748875;1.51164;2.14859;2.86795;1.76732;0.868844;0.397145;0.213149;0.104663;0.0363213;0.00286747;0.104498;0.124984;0.105924;0.165459;0.674812;0.312077;0.145763;0.0750322;0.0315422;0.0138595;0.0076466;0.000955825;1.4623;1.3949;5.42856;1.40357;37.3;224.254;0.142609;0.166329;4.31823;5.19478;5.19478;5.4277;5.4277;0;0;0;0;0;0.125;0;0;0.375;0.125;0.125;0;0;1.12
