Time,TimeCumulative,TrainObj,TrainBest,TestObj,TestBest
5.210662306,5.210662306,2223.7944198568457,2223.7944198568457,4.124513692383218e7,4.124513692383218e7
8.580787105,13.791449411,2198.4757385538032,2198.4757385538032,6.197940520329635e7,6.197940520329635e7
7.480340227,21.271789638,2216.4346177453353,2198.4757385538032,2.2869439599753212e7,6.197940520329635e7
8.203128382,29.47491802,2150.082388986475,2150.082388986475,2.717485337353432e7,2.717485337353432e7
7.47347576,36.94839378,2322.430543201805,2150.082388986475,1.5416077058315389e7,2.717485337353432e7
5.980077838,42.928471618,2179.852090231096,2150.082388986475,4.385729970794677e7,2.717485337353432e7
4.518108271,47.446579889000006,2205.977464076245,2150.082388986475,7.047612739914678e7,2.717485337353432e7
3.973249267,51.419829156000006,2259.2669379405493,2150.082388986475,1.866736506256812e7,2.717485337353432e7
4.1345412,55.55437035600001,2215.4128511035206,2150.082388986475,6.8325730987991e7,2.717485337353432e7
4.203777278,59.758147634000004,2229.69687643384,2150.082388986475,6.357483298365157e7,2.717485337353432e7
4.259286793,64.017434427,2114.644398266908,2114.644398266908,2.839851276417754e7,2.839851276417754e7
4.293274772,68.310709199,2117.7527594761277,2114.644398266908,7.304012733126901e7,2.839851276417754e7
4.025493988,72.336203187,2329.8173069104464,2114.644398266908,3.0595704277626973e7,2.839851276417754e7
4.219744775,76.55594796199999,2152.2909202903456,2114.644398266908,6.1645362902921475e7,2.839851276417754e7
3.996907438,80.55285539999998,2216.434617745336,2114.644398266908,2.2869439599753097e7,2.839851276417754e7
4.28217712,84.83503251999998,2330.5133336902504,2114.644398266908,7.135295245529518e7,2.839851276417754e7
4.043962248,88.87899476799998,2231.7084136313715,2114.644398266908,1.2616058612216799e8,2.839851276417754e7
5.509140408,94.38813517599999,2138.0402642334248,2114.644398266908,6.4068128986259535e7,2.839851276417754e7
8.222199995,102.61033517099999,2213.976387738283,2114.644398266908,2.0361869979811937e7,2.839851276417754e7
8.077575421,110.687910592,2141.56822658353,2114.644398266908,7.003882675326212e7,2.839851276417754e7
7.42808299,118.11599358199999,2316.555896263905,2114.644398266908,4.7995128611823395e7,2.839851276417754e7
7.084898777,125.200892359,2316.555896263905,2114.644398266908,4.7995128611823656e7,2.839851276417754e7
7.47588859,132.676780949,2110.5490235012862,2110.5490235012862,1.0042863923797849e8,1.0042863923797849e8
4.83574949,137.51253043900002,2269.151106311528,2110.5490235012862,1.1031157041274156e8,1.0042863923797849e8
4.083439589,141.595970028,2316.5322411185416,2110.5490235012862,1.4701833334434671e7,1.0042863923797849e8
8.219143981,149.815114009,2177.2196293540683,2110.5490235012862,7.844495634556566e7,1.0042863923797849e8
8.144972643,157.960086652,2152.2909202903456,2110.5490235012862,6.164536290292109e7,1.0042863923797849e8
8.882869524,166.842956176,2167.7449971667397,2110.5490235012862,5.4729759477288775e7,1.0042863923797849e8
8.039987544,174.88294372000001,2225.8433984986896,2110.5490235012862,6.83899327437562e7,1.0042863923797849e8
6.751714685,181.634658405,2226.230458467054,2110.5490235012862,1.4678566767892548e8,1.0042863923797849e8
5.687632009,187.322290414,2322.430543201805,2110.5490235012862,1.5416077058315665e7,1.0042863923797849e8
4.602354912,191.92464532600002,2106.6369376809903,2106.6369376809903,3.2698107963880062e7,3.2698107963880062e7
4.235328087,196.15997341300002,2159.4142381778197,2106.6369376809903,2.7915367754721154e7,3.2698107963880062e7
4.224335384,200.38430879700002,2241.0379893540653,2106.6369376809903,2.3373987307479005e7,3.2698107963880062e7
5.689336391,206.07364518800003,2173.8843305987593,2106.6369376809903,4.747601167147665e7,3.2698107963880062e7
7.798942405,213.87258759300002,2190.2534077090354,2106.6369376809903,4.421676137114859e7,3.2698107963880062e7
7.403200407,221.27578800000003,2243.613435635311,2106.6369376809903,4.259242697321059e7,3.2698107963880062e7
8.458244566,229.73403256600002,2088.8939637306985,2088.8939637306985,3.6792407862221256e7,3.6792407862221256e7
7.285564998,237.01959756400004,2247.5400681658098,2088.8939637306985,3.1648352304139398e7,3.6792407862221256e7
5.618629223,242.63822678700004,2316.532241118542,2088.8939637306985,1.4701833334434519e7,3.6792407862221256e7
4.285506148,246.92373293500003,2129.9486232328377,2088.8939637306985,8.507262359053712e7,3.6792407862221256e7
5.855992878,252.77972581300003,2227.135312437195,2088.8939637306985,4.266451373960217e7,3.6792407862221256e7
8.40819809,261.187923903,2126.3386765501023,2088.8939637306985,8.292670539300549e7,3.6792407862221256e7
7.829217635,269.01714153800003,2170.9415648547915,2088.8939637306985,7.520821910081564e7,3.6792407862221256e7
7.505502797,276.52264433500005,2222.109869393121,2088.8939637306985,3.1698763919628587e7,3.6792407862221256e7
7.214776387,283.737420722,2204.068773904426,2088.8939637306985,1.6896052894591188e8,3.6792407862221256e7
7.51332541,291.250746132,2151.504605648736,2088.8939637306985,1.5200018899404308e8,3.6792407862221256e7
4.71697731,295.967723442,2129.948623232838,2088.8939637306985,8.50726235905342e7,3.6792407862221256e7
5.02871752,300.996440962,2175.390484133207,2088.8939637306985,2.3757319674783975e7,3.6792407862221256e7
3.978193044,304.97463400600003,2247.7544045999857,2088.8939637306985,2.82628628357159e7,3.6792407862221256e7
5.491098286,310.46573229200004,2156.4616440852897,2088.8939637306985,8.77488182662904e7,3.6792407862221256e7
7.923967538,318.38969983000004,2176.5718158525574,2088.8939637306985,1.929601604111224e7,3.6792407862221256e7
7.63887046,326.02857029000006,2223.7944198568457,2088.8939637306985,4.124513692383275e7,3.6792407862221256e7
8.552360329,334.58093061900007,2145.4377307028553,2088.8939637306985,1.1124951763641682e8,3.6792407862221256e7
7.682916426,342.2638470450001,2217.8231595876887,2088.8939637306985,1.9732815811950564e7,3.6792407862221256e7
7.672555536,349.9364025810001,2147.6399680890736,2088.8939637306985,9.537556619341348e7,3.6792407862221256e7
7.180776639,357.1171792200001,2231.708413631372,2088.8939637306985,1.2616058612216677e8,3.6792407862221256e7
4.838663299,361.9558425190001,2227.135312437195,2088.8939637306985,4.266451373960147e7,3.6792407862221256e7
